"sim.ID","param.name","param.stat","param.stat.val"
"SIM_my_test_sim_20241112_142956","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20241112_142956","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_142956","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_142956","trait.Ef","sd",0.238528117553808
"SIM_my_test_sim_20241112_142956","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_142956","regional.RA","sd",0
"SIM_my_test_sim_20241112_143000","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143000","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143000","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143000","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143000","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143000","W.r","fixed_value",5e+06
"SIM_my_test_sim_20241112_143000","area.m2","mean",1
"SIM_my_test_sim_20241112_143000","JL","mean",20000
"SIM_my_test_sim_20241112_143000","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143000","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143000","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143000","m","mean",0.05
"SIM_my_test_sim_20241112_143000","area.m2","sd",0
"SIM_my_test_sim_20241112_143000","JL","sd",0
"SIM_my_test_sim_20241112_143000","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143000","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143000","IL","sd",0
"SIM_my_test_sim_20241112_143000","m","sd",0
"SIM_my_test_sim_20241112_143000","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143000","trait.Ef","mean",0.590462255710736
"SIM_my_test_sim_20241112_143000","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20241112_143000","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143000","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143000","trait.Ef","sd",0.238528117553808
"SIM_my_test_sim_20241112_143000","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143000","regional.RA","sd",0
"SIM_my_test_sim_20241112_143005","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143005","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143005","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143005","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143005","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143005","W.r","fixed_value",0
"SIM_my_test_sim_20241112_143005","area.m2","mean",1
"SIM_my_test_sim_20241112_143005","JL","mean",20000
"SIM_my_test_sim_20241112_143005","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143005","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143005","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143005","m","mean",0.05
"SIM_my_test_sim_20241112_143005","area.m2","sd",0
"SIM_my_test_sim_20241112_143005","JL","sd",0
"SIM_my_test_sim_20241112_143005","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143005","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143005","IL","sd",0
"SIM_my_test_sim_20241112_143005","m","sd",0
"SIM_my_test_sim_20241112_143005","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143005","trait.Ef","mean",0.323682034597732
"SIM_my_test_sim_20241112_143005","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20241112_143005","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143005","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143005","trait.Ef","sd",0.201216073418628
"SIM_my_test_sim_20241112_143005","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143005","regional.RA","sd",0
"SIM_my_test_sim_20241112_143010","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143010","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143010","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143010","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143010","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143010","W.r","fixed_value",2
"SIM_my_test_sim_20241112_143010","area.m2","mean",1
"SIM_my_test_sim_20241112_143010","JL","mean",20000
"SIM_my_test_sim_20241112_143010","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143010","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143010","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143010","m","mean",0.05
"SIM_my_test_sim_20241112_143010","area.m2","sd",0
"SIM_my_test_sim_20241112_143010","JL","sd",0
"SIM_my_test_sim_20241112_143010","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143010","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143010","IL","sd",0
"SIM_my_test_sim_20241112_143010","m","sd",0
"SIM_my_test_sim_20241112_143010","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143010","trait.Ef","mean",0.323682034597732
"SIM_my_test_sim_20241112_143010","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20241112_143010","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143010","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143010","trait.Ef","sd",0.201216073418628
"SIM_my_test_sim_20241112_143010","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143010","regional.RA","sd",0
"SIM_my_test_sim_20241112_143015","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143015","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143015","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143015","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143015","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143015","W.r","fixed_value",5
"SIM_my_test_sim_20241112_143015","area.m2","mean",1
"SIM_my_test_sim_20241112_143015","JL","mean",20000
"SIM_my_test_sim_20241112_143015","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143015","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143015","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143015","m","mean",0.05
"SIM_my_test_sim_20241112_143015","area.m2","sd",0
"SIM_my_test_sim_20241112_143015","JL","sd",0
"SIM_my_test_sim_20241112_143015","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143015","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143015","IL","sd",0
"SIM_my_test_sim_20241112_143015","m","sd",0
"SIM_my_test_sim_20241112_143015","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143015","trait.Ef","mean",0.323682034597732
"SIM_my_test_sim_20241112_143015","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20241112_143015","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143015","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143015","trait.Ef","sd",0.201216073418628
"SIM_my_test_sim_20241112_143015","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143015","regional.RA","sd",0
"SIM_my_test_sim_20241112_143020","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143020","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143020","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143020","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143020","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143020","W.r","fixed_value",10
"SIM_my_test_sim_20241112_143020","area.m2","mean",1
"SIM_my_test_sim_20241112_143020","JL","mean",20000
"SIM_my_test_sim_20241112_143020","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143020","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143020","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143020","m","mean",0.05
